사하, 59, 198
나바, 55, 150
카라, 61, 161
타자, 62, 167
바가, 43, 153
바바, 86, 157
라바, 86, 166
사차, 66, 183
타사, 71, 144
하마, 96, 176
자사, 63, 175
다마, 79, 181
파차, 87, 188
사카, 79, 165
하카, 68, 171
사하, 67, 191
하가, 41, 191
바타, 56, 154
바라, 61, 147
차자, 80, 141
자자, 66, 188
하다, 57, 198
마타, 83, 160
파마, 96, 186
카사, 83, 175
마차, 44, 184
타다, 48, 191
카카, 60, 169
마타, 53, 152
라파, 86, 180
파가, 40, 178
하다, 88, 180
사타, 89, 161
타타, 83, 177
라가, 94, 188
라카, 44, 175
카아, 99, 140
나라, 94, 152
사하, 53, 156
마차, 56, 165
다차, 50, 168
타마, 59, 180
마자, 85, 153
가아, 61, 143
가바, 49, 150
라자, 69, 196
하파, 80, 165
사카, 54, 174
나바, 45, 191
파나, 90, 171
가아, 69, 161
자라, 53, 189
가바, 50, 195
카바, 81, 185
다사, 46, 180
아타, 46, 168
라타, 64, 181
라다, 54, 152
가아, 51, 186
사마, 74, 177
사아, 69, 175
차카, 80, 172
아다, 59, 159
사파, 73, 188
가하, 41, 161
아바, 58, 144
마바, 56, 142
타카, 71, 150
다자, 81, 188
사자, 87, 178
사차, 47, 177
라아, 75, 192
카사, 90, 193
하타, 94, 185
사라, 84, 177
바마, 71, 186
카카, 89, 169
라가, 83, 156
차하, 40, 184
타나, 50, 144
바바, 95, 146
카파, 63, 142
가자, 87, 141
가파, 50, 176
차다, 54, 162
마아, 78, 192
차바, 44, 194
아하, 78, 168
아라, 56, 151
하바, 59, 159
카다, 80, 157
카아, 60, 187
라사, 95, 173
아마, 69, 193
라타, 70, 195
마다, 87, 190
카하, 53, 165
파자, 66, 164
다마, 45, 150
나차, 55, 177
차나, 55, 192
차자, 89, 193
파사, 99, 185
타마, 89, 179
가카, 83, 194
바다, 53, 190
카파, 50, 158
파가, 84, 172
타바, 68, 183
바마, 80, 147
가나, 95, 168
자하, 88, 161
타바, 70, 185
아마, 87, 170
카바, 77, 155
다바, 94, 169
다타, 65, 164
아카, 95, 197
아다, 85, 192
타다, 42, 196
가자, 43, 182
파자, 44, 187
다사, 62, 176
가차, 57, 175
차사, 41, 163
카라, 47, 160
타하, 65, 147
가마, 69, 150
자하, 83, 174
하라, 70, 180
사사, 41, 178
자라, 62, 151
파라, 57, 178
사파, 92, 140
다아, 65, 153
카타, 86, 196
자아, 60, 160
사라, 43, 189
바타, 44, 173
하라, 70, 176
마사, 66, 184
타차, 92, 180
가차, 85, 165
차아, 46, 140
마다, 73, 154
아하, 53, 185
자파, 93, 151
파하, 97, 199
나차, 78, 155
마마, 90, 179
나타, 55, 169
다타, 59, 147
하하, 83, 166
타사, 45, 185
카마, 49, 158
타라, 59, 163
다자, 71, 141
라자, 59, 157
자타, 81, 140
가사, 94, 143
하차, 55, 194
카파, 56, 163
자카, 63, 196
차사, 73, 143
사차, 64, 186
파사, 86, 156
마파, 90, 143
바자, 63, 152
바다, 45, 189
나카, 66, 157
카파, 71, 187
마아, 74, 158
아카, 42, 180
사다, 75, 148
하타, 54, 147
라가, 78, 174
마마, 49, 186
자나, 68, 160
다마, 89, 154
사아, 61, 148
차파, 66, 197
라다, 53, 177
하바, 87, 153
자하, 91, 177
사아, 61, 197
라라, 97, 170
하자, 62, 173
마차, 92, 163
차차, 71, 184
라마, 81, 175
라카, 47, 188
나아, 85, 179
타가, 67, 143
나하, 55, 174
바라, 71, 194
차차, 69, 149
타자, 70, 198
자아, 48, 192
카나, 91, 176
아차, 87, 191
차하, 64, 164
카하, 66, 193
바바, 63, 149
아자, 50, 163
아나, 65, 180
다다, 86, 172
카파, 90, 168
가바, 65, 184
나카, 83, 167
가다, 95, 193
가다, 64, 193
다타, 63, 199
차사, 55, 179
아라, 63, 150
파하, 73, 167
차파, 51, 185
하파, 52, 190
카마, 72, 176
카파, 61, 177
바바, 60, 165
자하, 94, 179
사차, 90, 188
라자, 58, 198
차바, 41, 178
자하, 46, 155
다마, 67, 172
아카, 44, 187
카하, 67, 167
마나, 55, 174
바하, 43, 178
나차, 58, 194
라아, 84, 157
파파, 90, 170
파라, 67, 174
아다, 92, 165
다바, 91, 193
다다, 70, 183
자타, 60, 151
바마, 90, 196
가라, 45, 143
마바, 82, 162
라파, 72, 190
가타, 44, 162
사차, 77, 193
하마, 75, 172
카아, 53, 170
아하, 57, 199
라자, 85, 157
라자, 70, 187
다타, 57, 191
다가, 96, 199
마타, 62, 189
사다, 42, 166
다라, 45, 185
바파, 58, 153
다가, 69, 160
가파, 92, 143
아하, 40, 194
사마, 53, 180
하타, 98, 189
가타, 68, 142
타바, 73, 182
마다, 83, 182
사자, 90, 169
라파, 51, 168
라라, 88, 170
다아, 63, 189
타바, 48, 161
타마, 51, 185
가마, 71, 158
카라, 84, 143
타나, 77, 154
나사, 59, 192
다다, 46, 188
아타, 64, 199
라자, 78, 170
나사, 89, 178
다가, 52, 174
차하, 49, 192
차차, 90, 187
바나, 77, 141
자라, 86, 190
타마, 91, 147
타아, 97, 179
다차, 98, 186
파다, 41, 196
나가, 45, 145
아나, 89, 148
하아, 56, 176
바나, 89, 184
카나, 68, 153
바파, 65, 175
아사, 40, 154
아나, 55, 140
가자, 59, 149
사다, 90, 171
나자, 88, 149
가마, 64, 169
마타, 52, 198
사아, 76, 176
나라, 63, 184
자마, 71, 147
다다, 47, 183
차나, 94, 179
파다, 45, 173
아나, 55, 176
다나, 80, 176
라카, 64, 151
타차, 46, 156
자자, 74, 198
자바, 95, 158
카나, 52, 172
파아, 42, 193
나자, 85, 171
타라, 52, 172
자아, 75, 143
다하, 57, 158
하마, 77, 147
아아, 50, 143
차타, 77, 176
파사, 73, 173
하라, 98, 175
바나, 43, 175
자타, 53, 146
파타, 66, 152
아아, 41, 150
차나, 90, 188
카마, 48, 151
라라, 76, 168
하하, 52, 174
파카, 64, 154
타라, 72, 186
카아, 90, 153
마가, 94, 159
다하, 80, 173
차마, 74, 193
나타, 96, 196
나나, 40, 151
마가, 97, 141
아다, 63, 182
가나, 64, 157
사카, 46, 160
가파, 67, 187
다마, 99, 183
카가, 45, 151
나자, 51, 193
나라, 94, 141
가자, 97, 167
마다, 54, 175
다바, 76, 189
차라, 53, 194
가차, 90, 170
하바, 85, 140
마아, 54, 166
파하, 43, 170
가아, 68, 149
바바, 67, 177
타라, 81, 198
아타, 90, 150
카바, 86, 149
차파, 90, 182
타파, 91, 184
가마, 56, 170
타가, 81, 175
라바, 64, 180
바라, 70, 156
가하, 57, 162
카하, 88, 193
가바, 52, 192
하바, 99, 160
자파, 58, 166
사타, 54, 164
차자, 73, 141
아라, 83, 191
자다, 67, 194
카카, 71, 158
아가, 89, 182
하바, 80, 145
하마, 70, 162
라라, 70, 152
자사, 70, 193
다타, 65, 195
차다, 41, 193
자자, 96, 191
바파, 78, 197
파마, 94, 174
다자, 65, 146
마자, 56, 170
나나, 74, 140
나타, 68, 142
다라, 97, 154
타아, 45, 184
파하, 83, 163
마파, 70, 199
자하, 43, 197
자하, 90, 175
바아, 52, 198
마라, 79, 144
자자, 97, 141
사차, 53, 155
가카, 97, 178
자바, 87, 167
바타, 59, 180
가차, 64, 190
자자, 98, 169
마아, 67, 146
라타, 91, 143
바나, 92, 171
사라, 57, 197
마아, 97, 197
카파, 69, 166
라카, 59, 199
차아, 60, 145
타라, 68, 183
라라, 95, 196
다아, 54, 196
마아, 64, 189
차가, 67, 189
사마, 54, 141
라파, 60, 194
하자, 73, 162
타사, 46, 167
자카, 56, 163
아바, 69, 189
파파, 53, 154
마자, 99, 150
나가, 64, 146
카라, 44, 150
다아, 57, 187
하바, 78, 158
사아, 90, 161
바나, 88, 181
파파, 94, 158
나다, 69, 180
나라, 73, 150
라다, 82, 153
자아, 40, 173
카바, 94, 163
타아, 77, 168
라파, 54, 179
자타, 62, 186
사나, 55, 165
바아, 45, 155
자카, 74, 155
나카, 64, 194
바파, 41, 141
타다, 57, 179
아나, 44, 183
바바, 90, 154
마라, 77, 166
라바, 72, 161
바타, 87, 150
차자, 85, 179
아마, 46, 141
파바, 68, 186
라카, 63, 191
하마, 76, 161
타바, 96, 196
라다, 59, 179
아나, 43, 191
나카, 41, 199
가하, 56, 191
가카, 53, 191
다사, 67, 140
사파, 49, 197
마하, 58, 163
바라, 74, 154
라카, 75, 191
카사, 77, 185
차아, 65, 158
가자, 91, 169
차사, 81, 168
파자, 55, 175
사사, 89, 193
바마, 52, 187
다라, 65, 181
나차, 61, 144
나사, 41, 167
하가, 76, 156
사타, 57, 192
자파, 64, 196
카카, 41, 159
라다, 79, 166
바카, 99, 153
나나, 63, 192
가라, 40, 148
바다, 73, 146
아자, 48, 161
하마, 58, 171
다자, 56, 180
사아, 56, 199
카카, 79, 180
타자, 97, 159
카카, 81, 183
파아, 75, 163
사자, 44, 156
타하, 71, 198
아나, 72, 194
나마, 53, 165
나나, 59, 145
하사, 91, 179
나타, 88, 144
파가, 82, 167
하자, 46, 180
바타, 66, 195
가가, 66, 165
아가, 61, 195
자아, 74, 146
마하, 71, 162
마타, 51, 199
차라, 82, 158
다타, 91, 192
자아, 72, 172
사라, 54, 168
사타, 97, 170
다파, 67, 161
아다, 43, 175
다가, 68, 154
타라, 48, 183
나하, 51, 190
바가, 83, 184
마다, 94, 199
자바, 46, 181
타자, 50, 197
바자, 86, 151
사아, 58, 174
라마, 50, 160
나아, 75, 144
바라, 54, 156
라나, 79, 183
카가, 79, 163
카라, 61, 171
하나, 66, 187
타바, 43, 187
사바, 54, 167
나하, 87, 152
차다, 68, 147
다카, 60, 165
타사, 73, 171
하바, 86, 199
아타, 50, 175
나바, 57, 152
카바, 92, 197
자자, 44, 142
타바, 89, 188
차하, 84, 175
하나, 60, 148
라타, 87, 188
